"tick","run","random_seed","Human Count","Zombie Count"
0.0,1,1543358157,200,5
1.0,1,1543358157,200,5
2.0,1,1543358157,199,6
3.0,1,1543358157,198,7
4.0,1,1543358157,198,7
5.0,1,1543358157,198,7
6.0,1,1543358157,198,7
7.0,1,1543358157,197,8
8.0,1,1543358157,196,9
9.0,1,1543358157,196,9
10.0,1,1543358157,196,9
11.0,1,1543358157,196,9
12.0,1,1543358157,193,12
13.0,1,1543358157,193,12
14.0,1,1543358157,192,13
15.0,1,1543358157,191,14
16.0,1,1543358157,191,14
17.0,1,1543358157,191,14
18.0,1,1543358157,190,15
19.0,1,1543358157,186,19
20.0,1,1543358157,185,20
21.0,1,1543358157,181,24
22.0,1,1543358157,178,27
23.0,1,1543358157,178,27
24.0,1,1543358157,178,27
25.0,1,1543358157,177,28
26.0,1,1543358157,175,30
27.0,1,1543358157,173,32
28.0,1,1543358157,171,34
29.0,1,1543358157,171,34
30.0,1,1543358157,170,35
31.0,1,1543358157,169,36
32.0,1,1543358157,168,37
33.0,1,1543358157,167,38
34.0,1,1543358157,166,39
35.0,1,1543358157,166,39
36.0,1,1543358157,166,39
37.0,1,1543358157,165,40
38.0,1,1543358157,163,42
39.0,1,1543358157,160,45
40.0,1,1543358157,159,46
41.0,1,1543358157,157,48
42.0,1,1543358157,156,49
43.0,1,1543358157,152,53
44.0,1,1543358157,150,55
45.0,1,1543358157,149,56
46.0,1,1543358157,146,59
47.0,1,1543358157,143,62
48.0,1,1543358157,142,63
49.0,1,1543358157,141,64
50.0,1,1543358157,140,65
51.0,1,1543358157,136,69
52.0,1,1543358157,133,72
53.0,1,1543358157,131,74
54.0,1,1543358157,130,75
55.0,1,1543358157,124,81
56.0,1,1543358157,122,83
57.0,1,1543358157,119,86
58.0,1,1543358157,116,89
59.0,1,1543358157,116,89
60.0,1,1543358157,113,92
61.0,1,1543358157,113,92
62.0,1,1543358157,111,94
63.0,1,1543358157,107,98
64.0,1,1543358157,106,99
65.0,1,1543358157,103,102
66.0,1,1543358157,99,106
67.0,1,1543358157,96,109
68.0,1,1543358157,92,113
69.0,1,1543358157,89,116
70.0,1,1543358157,85,120
71.0,1,1543358157,84,121
72.0,1,1543358157,82,123
73.0,1,1543358157,79,126
74.0,1,1543358157,77,128
75.0,1,1543358157,75,130
76.0,1,1543358157,72,133
77.0,1,1543358157,69,136
78.0,1,1543358157,68,137
79.0,1,1543358157,63,142
80.0,1,1543358157,56,149
81.0,1,1543358157,51,154
82.0,1,1543358157,44,161
83.0,1,1543358157,40,165
84.0,1,1543358157,37,168
85.0,1,1543358157,36,169
86.0,1,1543358157,33,172
87.0,1,1543358157,32,173
88.0,1,1543358157,29,176
89.0,1,1543358157,28,177
90.0,1,1543358157,27,178
91.0,1,1543358157,24,181
92.0,1,1543358157,23,182
93.0,1,1543358157,22,183
94.0,1,1543358157,22,183
95.0,1,1543358157,20,185
96.0,1,1543358157,20,185
97.0,1,1543358157,19,186
98.0,1,1543358157,19,186
99.0,1,1543358157,15,190
100.0,1,1543358157,14,191
101.0,1,1543358157,14,191
102.0,1,1543358157,13,192
103.0,1,1543358157,10,195
104.0,1,1543358157,9,196
105.0,1,1543358157,7,198
106.0,1,1543358157,7,198
107.0,1,1543358157,7,198
108.0,1,1543358157,7,198
109.0,1,1543358157,7,198
110.0,1,1543358157,6,199
111.0,1,1543358157,6,199
112.0,1,1543358157,4,201
113.0,1,1543358157,4,201
114.0,1,1543358157,3,202
115.0,1,1543358157,3,202
116.0,1,1543358157,2,203
117.0,1,1543358157,2,203
118.0,1,1543358157,2,203
119.0,1,1543358157,2,203
120.0,1,1543358157,2,203
121.0,1,1543358157,1,204
122.0,1,1543358157,1,204
123.0,1,1543358157,1,204
124.0,1,1543358157,1,204
125.0,1,1543358157,1,204
126.0,1,1543358157,1,204
127.0,1,1543358157,1,204
128.0,1,1543358157,1,204
129.0,1,1543358157,1,204
130.0,1,1543358157,1,204
131.0,1,1543358157,1,204
132.0,1,1543358157,1,204
133.0,1,1543358157,1,204
134.0,1,1543358157,0,205
135.0,1,1543358157,0,205
136.0,1,1543358157,0,205
137.0,1,1543358157,0,205
138.0,1,1543358157,0,205
139.0,1,1543358157,0,205
140.0,1,1543358157,0,205
141.0,1,1543358157,0,205
142.0,1,1543358157,0,205
143.0,1,1543358157,0,205
144.0,1,1543358157,0,205
145.0,1,1543358157,0,205
146.0,1,1543358157,0,205
147.0,1,1543358157,0,205
148.0,1,1543358157,0,205
149.0,1,1543358157,0,205
150.0,1,1543358157,0,205
151.0,1,1543358157,0,205
152.0,1,1543358157,0,205
153.0,1,1543358157,0,205
154.0,1,1543358157,0,205
155.0,1,1543358157,0,205
156.0,1,1543358157,0,205
157.0,1,1543358157,0,205
158.0,1,1543358157,0,205
159.0,1,1543358157,0,205
160.0,1,1543358157,0,205
161.0,1,1543358157,0,205
162.0,1,1543358157,0,205
163.0,1,1543358157,0,205
164.0,1,1543358157,0,205
165.0,1,1543358157,0,205
166.0,1,1543358157,0,205
167.0,1,1543358157,0,205
168.0,1,1543358157,0,205
169.0,1,1543358157,0,205
170.0,1,1543358157,0,205
171.0,1,1543358157,0,205
172.0,1,1543358157,0,205
173.0,1,1543358157,0,205
174.0,1,1543358157,0,205
175.0,1,1543358157,0,205
176.0,1,1543358157,0,205
177.0,1,1543358157,0,205
178.0,1,1543358157,0,205
179.0,1,1543358157,0,205
180.0,1,1543358157,0,205
181.0,1,1543358157,0,205
182.0,1,1543358157,0,205
183.0,1,1543358157,0,205
184.0,1,1543358157,0,205
185.0,1,1543358157,0,205
186.0,1,1543358157,0,205
187.0,1,1543358157,0,205
188.0,1,1543358157,0,205
189.0,1,1543358157,0,205
190.0,1,1543358157,0,205
191.0,1,1543358157,0,205
192.0,1,1543358157,0,205
193.0,1,1543358157,0,205
194.0,1,1543358157,0,205
195.0,1,1543358157,0,205
196.0,1,1543358157,0,205
197.0,1,1543358157,0,205
198.0,1,1543358157,0,205
199.0,1,1543358157,0,205
200.0,1,1543358157,0,205
201.0,1,1543358157,0,205
202.0,1,1543358157,0,205
203.0,1,1543358157,0,205
204.0,1,1543358157,0,205
205.0,1,1543358157,0,205
206.0,1,1543358157,0,205
207.0,1,1543358157,0,205
208.0,1,1543358157,0,205
209.0,1,1543358157,0,205
210.0,1,1543358157,0,205
211.0,1,1543358157,0,205
