"tick","run","random_seed","Human Count","Zombie Count"
0.0,1,195083680,200,5
1.0,1,195083680,200,5
2.0,1,195083680,198,7
3.0,1,195083680,198,7
4.0,1,195083680,196,9
5.0,1,195083680,196,9
6.0,1,195083680,196,9
7.0,1,195083680,196,9
8.0,1,195083680,195,10
9.0,1,195083680,195,10
10.0,1,195083680,194,11
11.0,1,195083680,193,12
12.0,1,195083680,193,12
13.0,1,195083680,193,12
14.0,1,195083680,192,13
15.0,1,195083680,191,14
16.0,1,195083680,189,16
17.0,1,195083680,188,17
18.0,1,195083680,188,17
19.0,1,195083680,186,19
20.0,1,195083680,184,21
21.0,1,195083680,184,21
22.0,1,195083680,184,21
23.0,1,195083680,182,23
24.0,1,195083680,181,24
25.0,1,195083680,180,25
26.0,1,195083680,178,27
27.0,1,195083680,176,29
28.0,1,195083680,175,30
29.0,1,195083680,173,32
30.0,1,195083680,171,34
31.0,1,195083680,169,36
32.0,1,195083680,168,37
33.0,1,195083680,166,39
34.0,1,195083680,166,39
35.0,1,195083680,165,40
36.0,1,195083680,165,40
37.0,1,195083680,165,40
38.0,1,195083680,159,46
39.0,1,195083680,158,47
40.0,1,195083680,158,47
41.0,1,195083680,156,49
42.0,1,195083680,154,51
43.0,1,195083680,149,56
44.0,1,195083680,147,58
45.0,1,195083680,145,60
46.0,1,195083680,143,62
47.0,1,195083680,140,65
48.0,1,195083680,137,68
49.0,1,195083680,133,72
50.0,1,195083680,133,72
51.0,1,195083680,130,75
52.0,1,195083680,125,80
53.0,1,195083680,123,82
54.0,1,195083680,120,85
55.0,1,195083680,118,87
56.0,1,195083680,115,90
57.0,1,195083680,110,95
58.0,1,195083680,108,97
59.0,1,195083680,107,98
60.0,1,195083680,104,101
61.0,1,195083680,101,104
62.0,1,195083680,99,106
63.0,1,195083680,97,108
64.0,1,195083680,94,111
65.0,1,195083680,89,116
66.0,1,195083680,86,119
67.0,1,195083680,85,120
68.0,1,195083680,82,123
69.0,1,195083680,78,127
70.0,1,195083680,75,130
71.0,1,195083680,73,132
72.0,1,195083680,73,132
73.0,1,195083680,70,135
74.0,1,195083680,66,139
75.0,1,195083680,63,142
